EMPLOYER_NAME,INITIAL_APPROVALS,TOTAL_APPLICATIONS,MEDIAN_SALARY,TOP_JOB_TITLE,TOP_STATE,APPROVAL_RATE
Amazon.com Services LLC,10473,10474,155600,Software Development Engineer II,WA,100.0
Ernst & Young U.S. LLP,9106,9294,145085,Software Developers - KBGFJG108855-11,NY,98.0
Google LLC,8181,8199,182600,Software Engineer,CA,99.8
COGNIZANT TECHNOLOGY SOLUTIONS US CORP,7999,8001,112819,Manager JC50 - Computer Systems Engineers/Architects,TX,100.0
Microsoft Corporation,7782,7868,173000,Software Engineering,WA,98.9
Apple Inc.,6541,7028,175053,Software Engineering Applications,CA,93.1
"Meta Platforms, Inc",5018,5019,213876,Software Engineer,CA,100.0
INFOSYS LIMITED,4060,4060,94952,Technology Consultant 2,TX,100.0
Deloitte Consulting LLP,3457,3461,144851,Manager,TX,99.9
"WAL-MART ASSOCIATES, INC.",2735,2755,150080,Software Engineer III,AR,99.3
TATA CONSULTANCY SERVICES LIMITED,2704,2731,87734,Architect,TX,99.0
JPMorgan Chase & Co.,2681,2684,160000,"Vice President, Lead Software Engineer",TX,99.9
"Amazon Web Services, Inc.",2616,2619,153600,Software Development Engineer II,WA,99.9
Intel Corporation ,2557,2557,128738,Process Engineer,OR,100.0
"COMPUNNEL SOFTWARE GROUP, INC",2052,2053,110000,Software Developer,TX,100.0
"Qualcomm Technologies, Inc.",1995,1995,134800,Senior ASICS Engineer,CA,100.0
Tata Consultancy Services Limited,1948,1949,89149,Architect,TX,99.9
Accenture LLP,1929,1929,135500,Packaged App Development Assoc Manager,TX,100.0
NVIDIA Corporation,1902,1918,187574,Software Engineer,CA,99.2
HCL AMERICA INC,1828,1862,117582,Senior Technical Lead,TX,98.2
AMAZON.COM SERVICES LLC,1784,1784,171950,SOFTWARE DEVELOPMENT ENGINEER II,WA,100.0
WIPRO LIMITED,1658,1917,92248,Technical Lead L1,TX,86.5
"Tesla, Inc.",1591,1707,156792,Sr Software Development Engineer,CA,93.2
"Salesforce, Inc.",1586,1648,207472,Software Engineering SMTS,CA,96.2
IBM Corporation,1520,1971,121547,Application Developer,TX,77.1
"Fidelity Technology Group, LLC d/b/a Fidelity Investments",1508,1518,127602,Senior Software Engineer/Developer,NC,99.3
LTIMindtree Limited,1506,1508,103880,Software Developer,TX,99.9
"Amazon Development Center U.S., Inc.",1449,1450,154400,Software Development Engineer II,WA,99.9
CAPGEMINI AMERICA INC,1375,1515,131000,Applications Consultant 3,TX,90.8
"Citibank, N.A.",1193,1197,156998,Applications Development Tech Lead Analyst,TX,99.7
"Cisco Systems, Inc.",1167,1167,140400,Software Engineer,CA,100.0
Adobe Inc.,1098,1098,185000,Software Development Engineer,CA,100.0
"Oracle America, Inc.",1013,1017,144976,Software Developer,CA,99.6
Deloitte & Touche LLP,1002,1002,116990,Audit & Assurance Senior,CA,100.0
Federal Express Corporation,950,951,110798,Full Stack Developer Advisor,TN,99.9
"PayPal, Inc.",887,963,180761,Software Engineer 3,CA,92.1
"ServiceNow, Inc.",872,873,148699,Senior Software Engineer,CA,99.9
Mphasis Corporation,862,1119,125000,Software Engineer,TX,77.0
GOLDMAN SACHS & CO. LLC,840,840,127000,"Vice President, Software Engineering",NY,100.0
FORD MOTOR COMPANY,765,765,131130,Software Engineer,MI,100.0
PRICEWATERHOUSECOOPERS ADVISORY SERVICES LLC,728,729,185000,Manager,TX,99.9
"Uber Technologies, Inc.",709,710,194000,Software Engineer,CA,99.9
"TECH MAHINDRA (AMERICAS), INC",704,729,106603,Systems Analyst,TX,96.6
"American Express Travel Related Services Company, Inc.",695,702,150000,Senior Engineer,AZ,99.0
General Motors,684,685,137709,Senior Software Engineer,MI,99.9
"Amazon Data Services, Inc",670,670,144182,Software Development Engineer II,WA,100.0
